cano_smiles,MW,TPSA,HBD,HBA,Water Solubility
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,224.26,75.27000000000001,2,3,2.46
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,348.48600000000016,37.3,1,1,0.000149
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,384.58600000000007,69.64,2,4,0.00473
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1,753.9409999999998,164.82,5,10,0.07
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,338.77200000000005,109.49,3,4,0.0528
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.324,82.28,1,5,0.688
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,226.276,75.27000000000001,2,3,0.864
CCCC(CCC)C(=O)O,144.214,37.3,1,1,2.36
CC1NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(=CNC(N)=O)NC(=O)C(CNC(=O)CC(N)CCCN)NC1=O.NCCCC(N)CC(=O)NCC1NC(=O)C(CO)NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(=CNC(N)=O)NC1=O,1321.4349999999995,736.6099999999998,27,27,1.48
CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,287.36299999999994,57.36,2,3,0.19
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.9100000000004,68.74000000000001,1,7,0.027
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,299.3700000000001,41.93,1,4,0.577
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O,517.5640000000003,156.43,3,7,0.119
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,583.6890000000001,118.21,3,6,0.229
CN(C)CCC=C1c2ccccc2CCc2ccccc21,277.411,3.24,0,1,0.0045
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,246.194,104.55,3,6,40.8
